bidx	ep	loss_act_b	loss_reg_b	loss_actor_b	loss_critic_b	loss_all
0	0	8.59663200378418	0.11026354134082794	-1.6393671035766602	1.241115927696228	8.30864429473877
1	0	6.760219097137451	0.10838298499584198	7.99281120300293	2.7726523876190186	17.634065628051758
2	0	5.359677791595459	0.08522406220436096	-4.059925079345703	1.4501044750213623	2.8350813388824463
3	0	4.3243818283081055	0.07239106297492981	-4.491860389709473	1.7852627038955688	1.690175175666809
4	0	3.6079506874084473	0.06549622118473053	-0.5545046329498291	1.0160434246063232	4.13498592376709
5	0	2.9982616901397705	0.06690606474876404	2.2714011669158936	1.0380467176437378	6.374615669250488
6	0	2.978224754333496	0.0644030049443245	2.204054355621338	1.8093225955963135	7.056004524230957
7	0	2.9404830932617188	0.06520672887563705	2.155385732650757	1.0418195724487305	6.202895164489746
8	0	2.8859760761260986	0.0642843246459961	1.9088752269744873	1.2777248620986938	6.136860370635986
9	0	2.8663251399993896	0.06430625170469284	1.6344064474105835	1.2155685424804688	5.780606269836426
10	0	2.815492868423462	0.06283605098724365	1.3276822566986084	1.0512992143630981	5.257309913635254
11	0	2.800102949142456	0.06396554410457611	0.9182066321372986	0.9826847910881042	4.764959812164307
12	0	2.726553201675415	0.06271806359291077	0.4896118938922882	1.2752422094345093	4.5541253089904785
13	0	2.6258766651153564	0.06248290091753006	-0.0487053245306015	0.9143326282501221	3.5539867877960205
14	0	2.602653741836548	0.06150749325752258	-0.6471630334854126	0.9913018345832825	3.0083000659942627
15	0	2.51546573638916	0.06381072849035263	-0.9648386240005493	1.1612706184387207	2.7757086753845215
0	1	2.4239566326141357	0.06283459067344666	-1.0789904594421387	1.120698094367981	2.528498649597168
1	1	2.3824644088745117	0.06086443364620209	-1.131391167640686	1.0055683851242065	2.3175060749053955
2	1	2.331476926803589	0.059896957129240036	-0.9759776592254639	1.6535913944244385	3.0689876079559326
3	1	2.201139450073242	0.06016926467418671	-0.7130040526390076	1.160003662109375	2.708308219909668
4	1	2.161526679992676	0.05745070055127144	-0.4209456145763397	0.9345903396606445	2.7326221466064453
5	1	2.057225465774536	0.05957006290555	0.0070028044283390045	0.8783364295959473	3.0021347999572754
6	1	1.987487554550171	0.05620882660150528	0.04562939330935478	0.8423148989677429	2.931640863418579
7	1	1.8773711919784546	0.05651227384805679	0.16288414597511292	1.0361214876174927	3.1328892707824707
8	1	1.7903858423233032	0.056562189012765884	0.2655732035636902	1.1514908075332642	3.264011859893799
9	1	1.6927508115768433	0.055287331342697144	0.12797556817531586	0.9115409255027771	2.7875547409057617
10	1	1.6393901109695435	0.05339711531996727	-0.20157423615455627	0.9167957901954651	2.4080088138580322
11	1	1.5356014966964722	0.051385995000600815	-0.318990558385849	0.9653221368789673	2.233319044113159
12	1	1.4762580394744873	0.04933048412203789	-0.6818996667861938	1.0132328271865845	1.856921672821045
13	1	1.3507529497146606	0.0499405562877655	-0.9558899998664856	0.8259545564651489	1.2707581520080566
14	1	1.2873300313949585	0.04926036298274994	-1.2997671365737915	1.2692188024520874	1.3060420751571655
15	1	1.2165311574935913	0.048092231154441833	-1.9891858100891113	1.5198533535003662	0.7952909469604492
0	2	1.1658138036727905	0.04763903468847275	-2.0820508003234863	0.7390424609184265	-0.12955552339553833
1	2	1.0334300994873047	0.04465663433074951	-1.9318102598190308	1.5110061168670654	0.6572825908660889
2	2	0.9780297875404358	0.045103512704372406	-1.8213098049163818	1.0358482599258423	0.23767173290252686
3	2	0.9184423685073853	0.04332006722688675	-1.3328611850738525	0.9877321124076843	0.6166333556175232
4	2	0.8407971858978271	0.04274431988596916	-0.5949291586875916	1.0086549520492554	1.2972673177719116
5	2	0.8148627877235413	0.042629726231098175	-0.2871251404285431	1.3457703590393066	1.9161376953125
6	2	0.7233545780181885	0.03966984152793884	0.08798790723085403	1.676296591758728	2.527308940887451
7	2	0.6527373194694519	0.03847349435091019	0.4492565393447876	0.8362930417060852	1.9767603874206543
8	2	0.6206331849098206	0.03794487193226814	0.2083768993616104	1.0681356191635132	1.9350905418395996
9	2	0.5574585199356079	0.03760529309511185	-0.0560758076608181	0.7552709579467773	1.294258952140808
10	2	0.509824275970459	0.03537987917661667	-0.3849869668483734	0.8211204409599304	0.9813376665115356
11	2	0.46775659918785095	0.03540054336190224	-1.0570460557937622	1.0211961269378662	0.4673072099685669
12	2	0.43921101093292236	0.03587967902421951	-1.3683178424835205	0.6598607301712036	-0.23336642980575562
13	2	0.394206166267395	0.034072451293468475	-1.6833679676055908	0.7886559963226318	-0.4664332866668701
14	2	0.363131046295166	0.03341621160507202	-1.7453168630599976	1.6262518167495728	0.27748215198516846
15	2	0.33875149488449097	0.03281961381435394	-1.9467800855636597	0.5981239080429077	-0.9770849943161011
0	3	0.30121976137161255	0.03216956555843353	-2.0945398807525635	0.716951847076416	-1.044198751449585
1	3	0.282931923866272	0.03087059035897255	-2.015817165374756	0.844538152217865	-0.857476532459259
2	3	0.264811247587204	0.03115149959921837	-1.863754153251648	1.3538649082183838	-0.2139265537261963
3	3	0.2426675260066986	0.029712487012147903	-1.6051642894744873	1.3183389902114868	-0.014445304870605469
4	3	0.22949062287807465	0.029126130044460297	-1.048186182975769	1.251319169998169	0.46174973249435425
5	3	0.2172292321920395	0.029567401856184006	-0.3960030972957611	0.787891685962677	0.6386852264404297
6	3	0.20635798573493958	0.02951863594353199	-0.2470543533563614	1.2916311025619507	1.2804533243179321
7	3	0.19003510475158691	0.027570411562919617	-0.5444037914276123	1.1020346879959106	0.7752364277839661
8	3	0.17540420591831207	0.027716584503650665	-1.21634840965271	0.9396175742149353	-0.07361000776290894
9	3	0.16296188533306122	0.02745380997657776	-1.8735418319702148	0.8811094760894775	-0.8020166158676147
10	3	0.16004233062267303	0.026939744129776955	-2.5090675354003906	0.8347238302230835	-1.4873615503311157
11	3	0.22512072324752808	0.0267806313931942	-2.8629379272460938	1.129727840423584	-1.4813086986541748
12	3	0.14254514873027802	0.02553774043917656	-3.035543918609619	0.5739773511886597	-2.2934837341308594
13	3	0.13760462403297424	0.02554621547460556	-2.8961291313171387	1.1495081186294556	-1.5834702253341675
14	3	0.1321725994348526	0.023660119622945786	-2.5260818004608154	1.0427738428115845	-1.3274751901626587
15	3	0.13053171336650848	0.023753929883241653	-1.7297132015228271	0.8918527960777283	-0.6835747361183167
0	4	0.1270049512386322	0.023888234049081802	-0.9186118245124817	1.0978853702545166	0.33016669750213623
1	4	0.11984016001224518	0.02311861515045166	-0.10289112478494644	1.1988989114761353	1.2389665842056274
